frame_idx	omega0	b0_extracted	u0	u1	u2	u3	u4	u5	u6	u7	chip_g0	chip_g1	chip_g2	chip_u4	chip_u5	chip_u6	chip_c7
176	0.287231	4	87	928	1048	2842	68	1492	1602	56	1042	1649	2311	171	956	233	91
177	0.308377	1	21	2456	859	1878	172	606	1455	106	1042	1467	3647	12	1883	755	23
178	0.297429	3	21	3843	51	300	182	927	8	62	1042	648	2305	163	1572	1285	87
179	0.277710	6	87	692	1171	2439	93	1846	1508	92	2322	1519	685	14	1242	1633	100
180	0.081999	114	1813	3427	3926	953	1152	1747	340	76	1042	3411	2077	259	2035	1816	39
181	0.277710	6	86	993	3882	3158	82	1184	353	12	1041	3790	3998	113	1724	266	103
182	0.059206	173	2775	2814	2856	3674	1903	623	677	50	1041	3547	2798	231	787	1270	119
183	0.139240	51	789	3645	1114	3525	1102	859	867	118	1042	3829	2533	170	1211	1302	107
184	0.110961	74	1173	2935	419	409	1074	1383	1386	124	2384	3383	3402	193	1465	815	62
185	0.089600	101	1631	1856	2618	3424	1537	102	951	66	3027	1952	1958	475	1782	1645	17
186	0.083916	110	1759	1482	1128	1959	1969	1567	1362	52	2326	3324	1311	360	288	977	28
187	0.240505	13	223	4032	3329	1567	1070	1767	263	50	2779	1198	3954	51	892	567	92
188	0.056542	183	2911	2554	886	4091	2015	1391	646	54	2325	3772	306	426	1871	773	32
189	0.109036	76	1244	3740	1528	1427	1937	661	1380	8	1045	3499	2963	468	819	257	35
190	0.205165	22	351	1073	3418	2846	141	646	1875	92	1045	3900	2489	146	1012	1288	103
191	0.250077	11	159	2659	355	3228	1074	983	515	86	2261	809	3786	41	131	554	110
192	0.144027	48	789	3134	3340	4013	9	2	1275	8	1045	3295	1265	75	316	782	87
193	0.277710	6	87	802	1649	1984	72	1131	1679	124	1041	3452	2702	271	1299	1766	87
194	0.304639	2	21	2456	875	1393	243	210	1055	4	1042	2110	2719	387	1644	741	103
195	0.238225	13	214	3682	1072	475	93	1264	1439	2	1041	3279	1837	445	716	1841	75
196	0.198678	24	407	1809	2717	1265	42	36	676	80	2321	2611	267	444	437	1006	74
197	0.133330	55	855	255	509	680	267	1202	1834	102	1042	3918	3610	99	891	1787	107
198	0.139240	51	789	3840	479	695	8	1799	543	86	1040	3391	3533	60	507	1817	27
199	0.308377	1	21	3718	162	2553	168	643	281	82	2322	1323	3066	195	1339	1634	114
200	0.115553	69	1109	4051	2825	3127	2	876	491	42	1041	3821	1313	233	36	270	91
201	0.290552	4	87	298	861	3928	50	1194	1482	104	1042	1499	3571	180	971	246	35
202	0.070896	138	2197	2859	79	2002	1284	294	1868	12	1036	3278	452	469	1747	1798	43
203	0.308377	1	21	3467	805	2256	98	1434	1540	90	1038	3287	3775	405	1971	1766	27
204	0.280813	5	87	944	1565	2825	94	400	1628	50	1038	2000	1322	392	347	1781	3
205	0.060928	167	2647	3196	791	3352	1884	1364	1623	126	1041	3631	2319	41	2044	1766	91
206	0.283986	5	87	944	48	3976	78	1909	833	114	1041	1285	3502	74	2019	1781	7
207	0.124112	62	987	3910	3827	1792	1029	1223	1624	124	1042	1375	608	58	1115	1802	39
208	0.142395	49	795	3849	722	1334	11	1784	1952	74	2532	1518	2694	385	1187	12	62
209	0.144857	47	733	3620	1350	1870	11	1077	1912	70	2459	3643	3613	417	1387	791	75
210	0.125979	60	981	3984	3534	700	1031	92	1531	56	2390	2593	3673	36	1374	251	101
211	0.110474	74	1173	2847	1484	180	1043	913	1891	92	1042	1903	3963	505	115	1823	55
212	0.104938	80	1301	3600	1273	3413	1051	764	1248	40	2196	3027	1527	183	1645	1724	60
213	0.057710	178	2839	3148	221	4077	1561	543	1415	44	1042	3377	2991	445	1084	202	7
214	0.277710	6	95	425	3277	1145	51	1470	1550	68	1045	1135	2329	83	540	737	83
215	0.192588	26	420	3556	2907	3280	27	514	754	20	2143	2138	183	222	96	1813	14
216	0.163731	37	606	2044	2119	1893	1051	1800	528	26	1052	1022	134	478	1475	1257	107
217	0.166995	36	615	3960	2475	655	1047	234	791	112	1499	2045	1301	442	1276	700	18
218	0.051874	203	3239	510	2639	3237	1791	1155	657	14	1571	3673	3103	268	817	872	69
219	0.155621	41	685	2980	692	3358	1755	1764	427	114	1574	1489	2275	13	1666	1771	45
220	0.055176	188	3055	2026	1541	3054	1791	1259	1759	88	1515	850	1015	270	643	479	75
221	0.086219	106	1709	2699	1359	2750	2046	993	980	52	1454	1772	2726	330	116	220	57
222	0.178881	31	501	3799	2084	3915	1935	400	1905	38	1386	3928	2769	428	1396	721	29
223	0.094307	94	1518	859	3557	2753	2042	948	240	84	1262	1492	1382	84	379	1761	26
224	0.096110	91	1455	2261	3778	3857	2046	1674	666	38	1199	1253	3575	1066	859	1784	47
225	0.097225	90	1453	3655	1898	1827	2042	648	1614	108	1134	3409	1501	1035	1772	277	27
226	0.097983	89	1454	2420	3968	4051	2046	1066	974	106	1134	2901	2638	1165	1091	1774	33
227	0.099536	87	1391	88	3522	2122	2046	1178	1193	118	1134	3389	1593	1100	1899	1766	84
228	0.198678	24	439	3968	299	1215	1935	1921	1941	48	1133	3414	740	1245	1740	262	52
229	0.178881	31	487	3893	3636	1614	1158	1331	1035	54	1254	1663	1701	173	836	757	32
230	0.191124	26	422	1968	3287	1781	1028	1794	1933	84	1306	1890	2727	379	436	213	119
231	0.188260	27	423	1809	2617	2472	1085	529	1565	46	1256	671	398	24	843	1271	109
232	0.205165	22	375	1107	3957	2240	1965	534	1325	12	1063	3445	2740	1049	1500	758	120
233	0.051449	205	3311	1012	2925	2920	1019	1104	1699	90	1009	3796	877	1109	188	757	34
234	0.102374	83	1325	2095	770	1720	2047	973	206	38	1009	3916	3610	1106	876	774	42
235	0.189681	27	430	1841	4080	2994	1838	1974	27	30	1066	1897	2310	388	819	1808	79
236	0.201869	23	359	3424	2112	744	1068	1406	436	110	1252	1247	1833	441	1500	794	117
237	0.203504	22	359	3137	887	1588	1066	61	1827	108	1188	1217	1573	87	1252	758	86
238	0.189681	27	419	3986	2972	387	30	1725	965	6	1185	1395	2339	404	1171	1291	26
239	0.189681	27	422	1960	3652	43	47	301	935	22	992	3756	2842	279	1396	1794	10
240	0.201869	23	354	2799	2196	462	36	402	1823	102	997	1907	1127	154	1532	182	38
241	0.205165	22	354	3974	3635	2286	32	1182	1437	12	2660	2590	2729	24	655	32	108
242	0.191124	26	423	1948	2737	273	36	1863	1289	28	2273	1825	872	471	1876	555	48
243	0.170391	34	567	1463	3333	3527	1996	1253	1165	116	1387	1996	2464	446	292	89	116
244	0.057185	180	2927	3452	2757	2811	2047	1068	1315	112	1391	1844	1827	167	467	1334	70
245	0.057185	180	2923	3876	3263	3819	2047	1040	1223	72	1389	4024	2800	111	724	687	119
246	0.172734	33	567	637	2486	3632	1966	903	1088	42	1390	3828	2524	136	891	657	46
247	0.170391	34	567	1332	3343	1271	1921	1224	1884	44	1392	3518	2603	1746	947	1845	30
248	0.170391	34	551	3876	1031	2807	1671	1408	1919	44	1379	1831	638	1933	1099	1223	73
249	0.169244	35	543	3559	441	2609	1236	44	2022	110	1369	3448	3281	885	1259	1334	54
250	0.176370	32	557	2409	229	1386	1036	1879	1972	40	1366	1918	281	434	523	1241	106
251	0.169244	35	551	3428	141	1214	1051	689	335	6	1384	202	3934	376	227	1430	114
252	0.169244	35	551	3173	2464	1349	1119	264	1664	70	1380	1898	3457	247	323	1159	6
253	0.170391	34	551	3139	2803	279	1033	1608	67	92	1377	2887	2914	108	92	1208	88
254	0.166995	36	615	3984	2026	3416	1567	1174	1663	40	1375	1382	3693	268	851	1221	30
255	0.052744	199	3175	2552	566	3237	1791	1515	1987	94	1575	3924	1910	690	1165	1960	32
256	0.152783	43	687	3458	625	3477	1966	700	184	38	1574	3269	2534	178	1374	1851	110
257	0.150046	44	751	3616	2781	3366	1958	575	1651	80	1638	1705	2765	410	875	852	99
258	0.147406	46	749	3936	1111	4063	1990	4	1121	44	1702	3821	3157	301	540	1220	10
259	0.136963	52	871	2807	1442	1409	1537	2033	745	80	1762	1492	2782	445	1212	381	2
260	0.131930	56	918	1950	925	1760	1030	338	90	40	1877	3819	3365	489	359	2044	46
261	0.283986	5	87	944	3118	109	97	1125	146	66	1942	1740	2227	212	1348	516	56
262	0.144027	48	789	4088	1079	2479	1034	375	1159	88	1493	3372	1687	107	1131	217	77
263	0.229523	15	227	62	2959	3940	84	1821	227	86	1682	3807	2926	173	336	199	32
264	0.166995	36	622	2032	125	2005	12	309	1501	56	2924	29	133	196	1219	210	36
265	0.150947	44	759	1872	990	3507	1863	1044	337	56	1647	2934	1752	495	1000	382	72
266	0.147406	46	758	1218	3422	1915	1995	1743	966	100	1715	1034	3802	49	1820	1366	106
267	0.147406	46	758	1238	2956	3796	2041	1044	1203	28	1715	2107	1407	8	963	198	51
268	0.150947	44	759	1616	3220	1810	1897	1603	1608	16	1714	2650	2603	684	444	1714	102
269	0.154663	42	694	2964	2768	3269	1875	1389	568	20	1650	718	2769	1877	2036	1345	115
270	0.158566	40	687	3526	1166	1348	1944	1551	374	96	1586	3491	1818	555	1394	831	90
271	0.155621	41	679	3968	582	3296	1553	805	967	34	1581	3577	1881	14	832	1858	13
272	0.172734	33	542	2732	3205	728	21	1134	605	34	1690	3111	2533	1396	325	1483	0
273	0.053875	194	3103	3890	1039	3443	1519	1377	248	4	1690	1246	1905	227	254	2006	117
274	0.064692	155	2453	3351	337	764	1820	822	1279	110	1690	1807	1710	79	1443	344	38
275	0.142395	49	789	3901	2049	1271	12	1610	74	74	1685	3793	3074	374	395	692	110
276	0.308377	1	21	3719	190	2329	220	437	1384	122	2321	863	1011	410	292	1114	14
277	0.131241	56	918	1742	1749	3011	7	754	612	32	1366	1844	3170	107	1788	201	22
278	0.283986	5	94	489	786	2445	5	764	1593	18	1301	3758	2374	85	1532	809	89
